Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,62.16,,55.81,,None,
2017-08-01,2017-08-01,2017-09-01,,MACD Bullish breath,61.38,3.03,57.81,3.03,None,
2017-09-01,2017-09-01,2017-10-01,,MACD Bullish,64.18,4.31,58.44,4.31,None,
2017-10-01,2017-10-01,2018-04-01,Bullish,MACD Bullish,74.45,9.73,57.47,5.43,None,
2018-04-01,2018-04-01,2018-05-01,Bullish breath,MACD Bullish breath,71.32,6.29,65.14,6.29,,
2018-05-01,2018-05-01,2018-06-01,Bullish,MACD Bullish breath,74.36,7.1,65.86,7.1,,
2018-06-01,2018-06-01,2018-07-01,Bullish breath,MACD Bullish breath,73.89,6.49,67.67,6.49,,
2018-07-01,2018-07-01,2018-10-01,Bullish,MACD Bullish,78.75,9.82,67.81,7.3,,
2018-10-01,2018-10-01,2019-04-01,Bullish breath,MACD Bullish breath,79.7,5.99,55.39,-0.6,,
2019-04-01,2019-04-01,2019-05-01,Bullish breath,MACD Bullish,73.24,3.18,69.16,3.18,,
2019-05-01,2019-05-01,2019-09-01,Bullish breath,MACD Bullish breath,71.32,0.01,55.98,-2.77,,
2019-09-01,2019-09-01,2019-10-01,Bullish breath,MACD Bearish,67.21,-0.68,58.03,-0.68,,
2019-10-01,2019-10-01,2019-12-01,Bullish breath,MACD Bullish,75.54,4.33,62.8,1.71,,
2019-12-01,2019-12-01,2020-02-01,Bullish,MACD Bullish,78.38,6.41,71.2,5.16,,
2020-02-01,2020-02-01,2020-03-01,Bullish breath,MACD Bullish breath,76.63,1.19,62.11,1.19,,
2020-03-01,2020-03-01,2020-04-01,Bearish,MACD Bullish breath,67.9,-7.71,37.75,-7.71,,Waiting for confirmation : Buy
2020-04-01,2020-04-01,2020-08-01,Bearish,MACD Bearish,69.4,-3.03,43.55,-7.54,,
2020-08-01,2020-08-01,2020-11-01,Bearish,MACD Bearish breath,71.91,0.68,61.41,0.34,,
2020-11-01,2020-11-01,2021-09-01,Bullish,MACD Bullish,105.92,22.03,65.74,5.29,,
2021-09-01,2021-09-01,2021-10-01,Bullish breath,MACD Bullish,105.99,17.29,93.25,17.29,,
2021-10-01,2021-10-01,2022-11-01,Bullish breath,MACD Bullish breath,100.47,15.65,72.41,-5.66,,
2022-11-01,2022-11-01,2023-02-01,Bullish breath,MACD Bullish,99.65,6.32,84.15,3.7,,
2023-02-01,2023-02-01,2023-05-01,Bullish breath,MACD Bullish breath,92.29,0.73,79.03,-0.98,,
2023-05-01,2023-05-01,2023-06-01,Bullish breath,MACD Bearish,87.0,-4.11,76.94,-4.11,,
2023-06-01,2023-06-01,2023-07-01,Bullish breath,MACD Bearish breath,90.73,0.01,76.96,0.01,,
2023-07-01,2023-07-01,2023-08-01,Bullish breath,MACD Bullish,93.04,2.33,87.47,2.33,,
2023-08-01,2023-08-01,2023-10-01,Bullish,MACD Bullish,100.62,7.12,90.41,6.25,,
2023-10-01,2023-10-01,2023-11-01,Bullish breath,MACD Bullish,97.5,4.02,87.26,4.02,,
2023-11-01,2023-11-01,2023-12-01,Bullish breath,MACD Bullish breath,92.7,2.41,83.1,2.41,,
2023-12-01,2023-12-01,2024-02-01,Bullish,MACD Bullish,98.09,5.46,87.59,3.86,,
